Output,fn,Min,Max,number,Harmonic number 1,Harmonic number 2,Harmonic number 3,Harmonic number 4,Harmonic number 5,Harmonic number 6,Harmonic number 7,Harmonic number 8,Int 1,Int 2,Int 3,Int 4,Int 5,Int 6,Int 7,sInt 1,sInt 2,sInt 3,sInt 4
1,Major_0.wav,131.0,1838.0,21,131.0,196.0,262.0,330.0,392.0,496.0,525.0,588.0,1.4961832061068703,1.336734693877551,1.2595419847328244,1.187878787878788,1.2653061224489797,1.0584677419354838,1.12,0.0021340780474326014,0.3269807923169268,0.3182725179109751,0.3073238874476154
1,Major_1.wav,2.0,993.0,17,165.0,196.0,262.0,331.0,392.0,496.0,524.0,661.0,1.187878787878788,1.336734693877551,1.2633587786259541,1.1842900302114803,1.2653061224489797,1.0564516129032258,1.2614503816793894,0.0006442921572072874,0.3269807923169268,0.32318524711736596,0.3011200133121028
1,Major_10.wav,131.0,1409.0,20,131.0,185.0,234.0,262.0,330.0,370.0,468.0,659.0,1.4122137404580153,1.2648648648648648,1.1196581196581197,1.2595419847328244,1.121212121212121,1.2648648648648648,1.4081196581196582,0.0017283215362142723,0.2540540540540539,0.13822309195367088,0.4312078313207126
1,Major_100.wav,155.0,2449.0,27,196.0,278.0,311.0,392.0,467.0,556.0,588.0,835.0,1.4183673469387754,1.118705035971223,1.2604501607717042,1.191326530612245,1.1905781584582442,1.0575539568345325,1.4200680272108843,0.0017580569391699753,0.10574481591197604,0.3194414631240714,0.3132839895087949
1,Major_101.wav,156.0,1094.0,20,156.0,197.0,278.0,311.0,350.0,393.0,556.0,624.0,1.2628205128205128,1.4111675126903553,1.118705035971223,1.1254019292604502,1.1228571428571428,1.4147582697201018,1.1223021582733812,0.0010064248994138296,0.4025082114063898,0.13699634453270582,0.19932033770078839
1,Major_102.wav,156.0,2472.0,32,196.0,278.0,311.0,392.0,467.0,494.0,556.0,588.0,1.4183673469387754,1.118705035971223,1.2604501607717042,1.191326530612245,1.0578158458244111,1.125506072874494,1.0575539568345325,0.0017580569391699753,0.10574481591197604,0.3194414631240714,0.3132839895087949
1,Major_103.wav,156.0,1053.0,21,156.0,196.0,278.0,311.0,350.0,392.0,494.0,556.0,1.2564102564102564,1.4183673469387754,1.118705035971223,1.1254019292604502,1.12,1.260204081632653,1.125506072874494,0.0009754493149327099,0.409813925570228,0.13699634453270582,0.19932033770078839
1,Major_104.wav,155.0,2449.0,24,196.0,295.0,311.0,350.0,392.0,467.0,589.0,699.0,1.5051020408163265,1.0542372881355933,1.1254019292604502,1.12,1.191326530612245,1.2612419700214133,1.1867572156196944,0.0021771755618430824,0.04032901296111646,0.14561615062527222,0.18998203951307135
1,Major_105.wav,156.0,1053.0,13,156.0,197.0,294.0,311.0,350.0,393.0,589.0,624.0,1.2628205128205128,1.4923857868020305,1.0578231292517006,1.1254019292604502,1.1228571428571428,1.4987277353689568,1.0594227504244482,0.0010064248994138296,0.48492087190206035,0.05863310835688207,0.19932033770078839
1,Major_106.wav,155.0,2097.0,24,155.0,278.0,311.0,392.0,467.0,524.0,556.0,835.0,1.793548387096774,1.118705035971223,1.2604501607717042,1.191326530612245,1.1220556745182013,1.0610687022900764,1.5017985611510791,0.0035710034519700045,0.10574481591197604,0.3194414631240714,0.3132839895087949
1,Major_107.wav,156.0,936.0,18,156.0,278.0,311.0,393.0,525.0,556.0,624.0,786.0,1.7820512820512822,1.118705035971223,1.2636655948553055,1.3358778625954197,1.059047619047619,1.1223021582733812,1.2596153846153846,0.003515447242384513,0.10574481591197604,0.3235801610407094,0.5631694242132956
1,Major_108.wav,155.0,2800.0,30,196.0,262.0,311.0,392.0,467.0,525.0,586.0,933.0,1.336734693877551,1.1870229007633588,1.2604501607717042,1.191326530612245,1.1241970021413277,1.1161904761904762,1.5921501706484642,0.0013635923531246982,0.1750673551863493,0.3194414631240714,0.3132839895087949
1,Major_109.wav,156.0,935.0,11,156.0,197.0,262.0,311.0,350.0,393.0,467.0,589.0,1.2628205128205128,1.3299492385786802,1.1870229007633588,1.1254019292604502,1.1228571428571428,1.188295165394402,1.2612419700214133,0.0010064248994138296,0.3200955509107195,0.22493066298954623,0.19932033770078839
1,Major_11.wav,2.0,1116.0,23,185.0,233.0,262.0,331.0,371.0,393.0,556.0,661.0,1.2594594594594595,1.1244635193133048,1.2633587786259541,1.1208459214501512,1.059299191374663,1.4147582697201018,1.1888489208633093,0.0009901836470102158,0.11158798283261806,0.32318524711736596,0.1914443812735851
1,Major_110.wav,155.0,1980.0,25,196.0,247.0,311.0,392.0,467.0,495.0,588.0,742.0,1.260204081632653,1.2591093117408907,1.2604501607717042,1.191326530612245,1.0599571734475375,1.187878787878788,1.2619047619047619,0.00099378180370725,0.24821386044296245,0.3194414631240714,0.3132839895087949
1,Major_111.wav,156.0,936.0,15,156.0,197.0,247.0,311.0,393.0,467.0,495.0,624.0,1.2628205128205128,1.2538071065989849,1.2591093117408907,1.2636655948553055,1.188295165394402,1.0599571734475375,1.2606060606060605,0.0010064248994138296,0.2428336816960286,0.3177156093369713,0.4383363032197336
1,Major_112.wav,83.0,1980.0,29,83.0,124.0,248.0,330.0,372.0,495.0,659.0,742.0,1.4939759036144578,2.0,1.3306451612903225,1.1272727272727272,1.3306451612903225,1.3313131313131312,1.125948406676783,0.0021234119397992605,1.0,0.4097919087719686,0.20255438036320084
